model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
methods-llama3_8b_instruct_sft_stateval_1_5_zero-shot,0.84351,0.94643,0.58594,0.90254,0.85656,0.96525
methods-llama3_8b_stateval_1_5_zero-shot,0.29493,0.03571,0.0,0.18644,0.29508,0.85328
methods-llama3_8b_sft_stateval_0_5_zero-shot,0.83233,0.97024,0.72656,0.90254,0.62295,0.98069
methods-llama3_8b_instruct_sft_28_zero-shot,0.85125,0.95833,0.62891,0.90254,0.83197,0.97297
methods-llama2_7b_stateval_0_5_zero-shot,0.18831,0.08333,0.00781,0.0339,0.31967,0.45174
methods-llama2_7b_zero-shot-CoT,0.18831,0.04762,0.01562,0.05932,0.33197,0.43243
methods-llama2_7b_stats-prompt,0.28031,0.06548,0.19531,0.15678,0.32377,0.57529
methods-llama2_7b_stateval_15_one-shot,0.30267,0.08333,0.10938,0.1822,0.40164,0.65251
methods-llama2_7b_stateval_15_zero-shot,0.17369,0.0119,0.02344,0.08475,0.22541,0.45946
methods-llama3_8b_instruct_sft_1_6_zero-shot,0.80825,0.66667,0.6875,0.86441,0.81148,0.96525
methods-llama3_8b_instruct_stateval_0_5_zero-shot,0.15993,0.125,0.15625,0.10169,0.04508,0.34749
methods-llama2_13b_one-shot-CoT,0.27515,0.31548,0.13672,0.13983,0.06148,0.71042
methods-llama3_8b_instruct_stateval_5_0_zero-shot,0.25967,0.19643,0.07812,0.12712,0.05738,0.79151
methods-llama3_8b_stateval_5_0_zero-shot-CoT,0.28117,0.05357,0.00781,0.1822,0.22541,0.8417
methods-llama2_7b_sft_16_zero-shot,0.79364,0.85714,0.64062,0.90678,0.61066,0.97297
methods-llama3_8b_instruct_stateval_15_one-shot,0.3233,0.33333,0.11328,0.17373,0.11885,0.85328
methods-llama3_8b_sft_2_8_zero-shot,0.79278,0.82738,0.67969,0.86441,0.63115,0.96911
methods-llama3_8b_zero-shot-CoT,0.25021,0.02381,0.13672,0.16102,0.18443,0.65251
methods-llama2_7b_sft_5_0_zero-shot,0.7644,0.77381,0.57031,0.91525,0.59836,0.96911
methods-llama3_8b_instruct_stats-prompt,0.31642,0.23214,0.21094,0.23729,0.16393,0.69112
methods-llama2_7b_zero-shot,0.17971,0.04762,0.02344,0.03814,0.28279,0.45174
methods-llama2_7b_stateval_15_stats-prompt,0.28289,0.08929,0.125,0.19068,0.2623,0.66795
methods-llama3_8b_stateval_1_5_one-shot,0.3534,0.26786,0.07422,0.20339,0.27869,0.89189
methods-llama3_8b_instruct_sft_stateval_5_0_zero-shot,0.84351,0.94048,0.57812,0.90678,0.86475,0.96525
methods-llama3_8b_instruct_sft_16_zero-shot,0.84781,0.80357,0.66797,0.9322,0.86066,0.96525
methods-llama2_7b_stateval_sft_zero-shot,0.82459,0.92262,0.71094,0.90254,0.64344,0.97297
methods-llama3_8b_zero-shot,0.28633,0.02381,0.00391,0.18644,0.28689,0.82625
methods-llama3_8b_stateval_0_5_one-shot,0.35856,0.24405,0.10547,0.21186,0.28279,0.88803
methods-llama3_8b_sft_89_zero-shot,0.79536,0.94048,0.63672,0.88983,0.59016,0.96525
methods-llama3_8b_instruct_sft_stateval_0_5_zero-shot,0.85469,0.95833,0.62109,0.90254,0.85656,0.97297
methods-llama3_8b_sft_logic_zero-shot,0.91745,0.94643,0.82812,0.90678,0.93852,0.97683
methods-llama3_8b_stateval_5_0_stats-prompt,0.38435,0.3869,0.16406,0.30508,0.14754,0.89575
methods-llama3_8b_instruct_stateval_5_0_one-shot-CoT,0.36715,0.40476,0.21094,0.17797,0.12705,0.89575
methods-llama3_8b_instruct_sft_89_zero-shot,0.80396,0.96429,0.61328,0.90678,0.61066,0.97683
methods-llama3_8b_sft_1_6_zero-shot,0.79192,0.78571,0.64844,0.83475,0.72131,0.96525
methods-llama2_7b_sft_stateval_0_5_zero-shot,0.83405,0.92262,0.64453,0.91102,0.7623,0.96139
methods-llama3_8b_instruct_stateval_5_0_zero-shot-CoT,0.30267,0.29762,0.16016,0.1822,0.03689,0.80695
methods-llama3_8b_instruct_sft_2_8_zero-shot,0.80653,0.66667,0.60938,0.88983,0.85246,0.97297
methods-llama3_8b_stateval_sft_zero-shot,0.84007,0.94643,0.69141,0.90678,0.71311,0.97683
methods-llama3_8b_sft_28_zero-shot,0.82717,0.94643,0.71484,0.90678,0.62705,0.97683
methods-llama3_8b_stateval_15_zero-shot,0.26655,0.05952,0.0,0.18644,0.17213,0.82625
methods-llama3_8b_instruct_stateval_1_5_zero-shot,0.19261,0.1131,0.09766,0.09746,0.08607,0.5251
methods-llama3_8b_stateval_15_one-shot,0.34222,0.28571,0.06641,0.20339,0.23361,0.88031
methods-llama3_8b_one-shot,0.35082,0.21429,0.10156,0.22458,0.26639,0.88031
methods-llama2_7b_sft_stateval_1_5_zero-shot,0.81083,0.85714,0.63672,0.91102,0.78279,0.88803
